8.584,8.584,8.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584
9.584,10.584,10.584,10.584,10.584,10.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584
9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584,9.584
9.584,9.584,9.584,9.584,9.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584
8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584
8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584,8.584
8.584,8.584,8.584,8.584,8.584,7.584,7.584,7.584,7.584,7.584,7.584,7.584,7.584
7.584,7.584,7.584,7.584,7.584,7.584,7.584,6.584,6.584,6.584,6.584,6.584,6.584
5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584
5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584
5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,5.584,4.584,4.584,4.584
4.584,4.584,4.584,4.584,4.584,4.584,4.584,4.584,4.584,4.584,4.584,4.584,3.584
3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584
3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584
3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584
3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584
3.584,3.584,2.584,2.584,2.584,2.584,2.584,2.584,2.584,2.584,2.584,2.584,2.584
2.584,2.584,2.584,2.584,2.584,2.584,2.584,1.584,1.584,1.584,1.584,1.584,1.584
1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584,1.584
1.584,1.584,1.584,1.584,1.584,1.584,1.584,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398
0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,0.58398,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602,-0.41602
